Summary,Description,Issue Type,Priority,Component,Labels,Epic Name,Epic Link
"Inset-mode band crowding: CTA fails to place after headline consumes full band","In inset mode, higher-priority elements (logo, headline, product_meta) consume the full width of a narrow band, leaving no room for the CTA. Candidate generator in inset path emits left/centered/right anchors per shape but not anchors that sit RIGHT-OF-CONSUMED. Smoke test: 9:16 portrait with centered-person subject reliably reproduces. Fix: sub-divide bands by consumed rects between elements, or add a right-of-consumed anchor, or shrink earlier elements more aggressively when a required later element would otherwise fail.",Task,Medium,Overlay Zones,placement;inset;crowding
"Enforce canvas safe-margin in placement","Today candidate generation uses scattered 0.04/0.05/0.95/0.96 literals so effective safe margins drift between 2%-5% depending on region (bottom-third anchor at y=0.90 + shape h=0.08 lands y2=0.98 = 2% from edge). Step 1: introduce SAFE_MARGIN const (0.05) and withinSafeArea helper; replace the scattered literals. Step 2 (later): per-edge margins keyed on platform (Meta/TikTok/IG reserve different HUD/caption zones).",Task,Medium,Overlay Zones,placement;safe-margin
"Wire orphan canonical fields into templates","Audit found ~15 canonical input fields that are derived but never rendered: theme.{style,background_style,emphasis}, layout_options.*, copy.{highlight_text,disclaimer}, cta.{subtext,offer_text}, product.{description,short_benefits,category,currency,id}, trust.{retailer_logos,certifications,press_mentions}, performance.engagement.{shares,saves,views}, ugc.{post_id,post_type,shares,saves,rights_approved}, creator.avatar. Decide per-field: kill, expose in canonical templates, or wire into overlay-mode renderer. Especially high-leverage: theme block (could drive emphasis-based priority reshuffling, style overrides, background treatments, variant generation) and copy.eyebrow (small kicker above overlay headline).",Task,Medium,Layout Input,schema;cleanup
"Hybrid art-director: LLM theme/treatment decisions, heuristic placement execution","Use one Gemini Vision call per Media to emit high-level art direction (theme.emphasis, theme.style, theme.background_style, per-element treatment hints) — then heuristic placement engine executes those decisions across every (template, aspect_ratio) combo. Trades off pure-LLM placement (slow, costly, non-deterministic, weak coordinate math, no measure-and-shrink) for LLM aesthetic judgment + heuristic exactness. Cost collapses from O(templates × ratios) to O(1) calls/Media; outputs stay deterministic and debuggable; brand voice stays consistent across ratios. Implementation order: (1) emit theme block during layout-input assembly, (2) wire theme.emphasis to placement-priority shuffle, (3) wire theme.style to typography overrides table, (4) wire theme.background_style to Cloudinary bg treatment.",Story,High,Layout Input,llm;hybrid;theme;art-direction
"detect.html: live-react to brand-picker change","ads.html listens for window brand:change and reloads its media library. detect.html does not — page-load picks up the new X-Brand-Id but a brand switch while on detect leaves stale data visible. Add a brand:change listener that clears state + redraws.",Task,Low,Frontend,tenancy;phase-3-followup
"detect upload form: drop redundant Brand-name field","With the nav brand picker active, the brand the user is uploading for is implicit (X-Brand-Id header). The Brand input on the upload form is now duplicate context and a source of confusion (what if user types a different brand than the one selected?). Replace the input with a small Active brand: <name> indicator + a Change link that opens the picker.",Task,Medium,Frontend,tenancy;phase-3-followup;ux
"Brand management UI (rename / archive / delete)","Today brands are immutable from the UI — only created via the picker. Need a settings page or modal to: rename a brand, archive (soft-delete with status), permanently delete (with confirmation + media cascade rules). Also: edit websiteUrl, primaryColor, custom logoUrl, tone[], demographics. Today the catalog mutates only via auto-enrichment + curatedFields lock; this surfaces those fields directly.",Story,Medium,Frontend,tenancy;phase-3-followup;ux
"Tenancy phase 4: team invitations + multi-Advertiser membership","Add AdvertiserMembership join collection so a user can belong to multiple Advertisers (agency model). Invitation flow: an admin emails an invite link with a signed token, the invitee accepts to join the Advertiser as editor/viewer. requireAuth gains an active-Advertiser concept (header X-Advertiser-Id similar to X-Brand-Id) and falls back to the users sole membership when not specified.",Story,Medium,Backend,tenancy;phase-4
"IG V2: CLIP visual matching of YOLO crops against catalog images","Generate CLIP embeddings on catalog Product images at ingest, store as Float32 vector on Product. Match service: encode each YOLO crop and rank catalog Products by cosine similarity. Catalog visual hits with cosine > threshold supplement (or replace) text+category matching. This is the real unlock for ""model wearing what we sell"" matches where text overlap is weak (a generic ""tee shirt"" YOLO label binds to the right SKU because its visual signature matches one catalog item).",Story,Medium,Instagram,instagram;v2;matching
"IG V2: scheduled auto-sync with per-brand daily DetectRun cap","Cron job pulls catalog daily and IG posts hourly per connected Brand. Cap auto-DetectRuns at N posts/day per brand to control compute spend. Manual sync buttons remain. Add brand-level setting for cadence + cap. Skip already-ingested externalIds via the upsert key.",Story,Medium,Instagram,instagram;v2;automation
"IG V2: catalog browser panel on brand.html","Paginated grid of Product rows under each Brand: image thumbnail, title, price, productUrl, last-seen-in-match count. Filters by category, in-stock, has-reviews. ""Refresh reviews"" button per Product. Lets ops eyeball whether catalog sync produced sensible data and which SKUs are seeing match traffic.",Story,Medium,Instagram,instagram;v2;ui
"IG V2: media-source indicator on detect.html","Distinguish uploaded vs IG-sourced Media in the inventory list and detect view. Small pill: ""Manual upload"" / ""Instagram post"" / ""Instagram reel"". For IG-sourced, surface the original IG URL, posted date, and creator handle as read-only metadata.",Task,Low,Frontend,instagram;v2;ui
"IG V2: multi-page-per-brand + Reels-specific frame extraction","Allow more than one IG account per Brand (e.g. main brand page + creator collabs). Reels need per-frame YOLO + audio Whisper transcription; static posts skip transcription. Auto-detect media type from Graph API media_type field and route to the right pipeline shape.",Story,Medium,Instagram,instagram;v2;ingest
"IG V3: Meta webhooks for real-time post ingest","Subscribe to Meta page-feed webhooks. New post events trigger immediate ingest + DetectRun (subject to daily cap). Requires Meta app review for webhook subscriptions in production. Eliminates polling latency.",Story,Low,Instagram,instagram;v3;webhooks
"IG V3: cross-brand catalog dedup","Same SKU sold under multiple Advertiser accounts (agencies, parent/child brands) creates duplicate Product rows. Add an optional canonicalProductId pointer or a (gtin, brandFamily) dedup index. Reviews + match-history can then be shared across the duplicates.",Task,Low,Instagram,instagram;v3;dedup
"IG V3: auto-suggest product matches in IG comments","When a post triggers a confident product_match outcome, optionally post a reply comment on the original IG post linking to the matched product page. Requires explicit per-Brand opt-in and rate limiting. Closes the loop from social signal to commerce conversion.",Story,Low,Instagram,instagram;v3;commerce
"Catalog browser: surface review quotes when hasReviews=true","The /api/integrations/instagram/catalog list endpoint returns hasReviews, reviewsRating, and reviewsCount but omits the actual quotes blob to keep paginated responses light. Decide between two surfacings: (a) return productReviews inline in the list response when hasReviews=true (heavier payload), or (b) add an expand-on-click flow in the card that fetches GET /catalog/:id/reviews on demand. Recommend (b) — keeps the grid fast and lets the card animate in 4-6 quotes inline. Either way the card should show at least one teaser quote without a round-trip.",Task,Medium,Instagram,instagram;v2;ui
"Ad platforms: end-to-end OAuth + scope validation","Cap off Ad Platforms Phase A by validating both Meta Ads and Google Ads OAuth flows against real ad accounts. Punchlist: (1) Meta App — request Advanced Access on ads_read / ads_management / business_management via App Review (Standard Access works for the app's own admin/dev/tester roles, blocks public users); (2) Meta App — confirm both /instagram/callback and /meta-ads/callback are registered as Valid OAuth Redirect URIs; (3) Google Cloud — get the OAuth consent screen verified for the sensitive adwords scope, or list our admin emails as Test users while in Testing publishing status; (4) Google Ads API Center — confirm developer token has Standard or Basic Access (not just Test); (5) e2e walk: connect each platform from the brand page, finalize via picker, sync campaigns once, verify Campaign rows land with productSetIds populated. Tracks the lingering Meta OAuth perms questions + the Google v17 sunset that surfaced during testing.",Story,Medium,Ad Platforms,ad-platforms;phase-a;validation,,
"Detect pipeline: within-run parallelism (Promise.all stage groups)","Today pipelines/detect.js runs stages strictly sequentially even when there are no data dependencies between them. Identify groups that can run in parallel and wrap each group in a single Promise.all. First-pass candidates with verified independence: (a) post-detection enrichment fan-out — subjects-text (GPT-4.1) + product-match providers + transcript NER all read the YOLO output but write to separate artifacts, can run as one Promise.all instead of three serial awaits; (b) smart-crops + extended-crops can start the moment detection completes, in parallel with subjects-text; (c) overlay-zones analysis only needs hero crop + safeRect — can fan out per ratio. Expected 30-50%% speedup per run on top of the WORKER_CONCURRENCY parallelism we already have across runs. Risks: stage timings telemetry needs reworking (currently single-threaded sequential timing), and error handling has to fail the whole run if any parallel branch throws (use Promise.allSettled + collect errors instead of bubble). Worth a careful PR — affects every run.",Story,High,Detect Pipeline,detect;perf;parallel,,,"Currently any Google account can sign in (allowlist removed in 540f01e to unblock dev). Before public launch, add a gate: invite tokens (similar to AdvertiserMembership invitations already shipped), or an email-domain allowlist on Advertiser, or a waitlist flow that holds new signups in a 'pending' status until an admin approves. Whichever we pick, the check goes back into the GoogleStrategy callback in server/index.js where the @floodqrf.com check used to live.",Story,High,Backend,auth;launch-blocker,,
"IG V3 followup: UGC rights-request comment flow","Distinct from V3 #3 (commerce nudges on the brand's own posts). When a creator's post features the brand (discovered via /me/tags or branded-content tags), auto-comment asking for permission to use the content in marketing. Components: (1) discovery — periodically pull tagged-in posts via Graph API endpoint; (2) per-brand opt-in + custom template referencing creator handle and a terms URL; (3) reply parser — when the creator replies with the configured magic word (default ""YES""), flip the Media's rights.approved=true and stamp the consent message as audit trail; (4) cap + already-asked idempotency on Media.metadata.rightsRequestAt. Requires the same instagram_manage_comments scope already added in V3 #3 plus instagram_basic for tagged-media reads.",Story,Medium,Instagram,instagram;v3;ugc;rights,,
"Ad Platforms Phase B — Campaign read sync","Read campaigns + ad sets/groups + ads from connected Meta and Google Ads accounts. Capture targeting (demo, geo, interests), schedule (start/end), objective, status, budget, and the product set / merchant center IDs each ad references — those product IDs are the join key that lets ads.html filter media-picker results to ones that match the active campaign's products. Read-only in this epic; ship-to-platform (Phase D) is separate. Stories below cover schema + Meta sync + Google sync + scheduler + UI; written so they can be done in parallel after the schema lands.",Epic,High,Ad Platforms,ad-platforms;phase-b;campaigns,Ad Platforms Phase B,
"Phase B-1: Campaign collection + per-platform sync interface","New Campaign mongoose model { advertiserId, brandId, platform: 'meta-ads'|'google-ads', externalId, name, status, objective, budget, schedule {start,end}, targeting {demo,geo,interests}, productSetIds[], adSets: [{ externalId, name, status, productSetId, ads: [{externalId, name, creativeRef}] }], lastSyncedAt }. Compound unique index (brandId, platform, externalId) for idempotent upsert. Plus a stub services/campaignSyncService.js with the platform-dispatch shape (calls metaAds vs googleAds adapters). Foundation for B-2 / B-3 / B-4.",Story,High,Ad Platforms,ad-platforms;phase-b;schema,,Ad Platforms Phase B
"Phase B-2: Meta Ads campaign sync adapter","services/metaAdsCampaignService.js. Uses the stored long-lived token + ad-account id from the IntegrationCredential to paginate /act_<id>/campaigns?fields=id,name,status,objective,daily_budget,lifetime_budget,start_time,stop_time,promoted_object,product_set_id then per-campaign /campaign-id/adsets and /adset-id/ads. Maps Meta's targeting spec (geo_locations, age_min, age_max, interests) into the unified Campaign.targeting shape. Idempotent upsert keyed on (brandId, platform='meta-ads', externalId). Captures Meta product_set_id on each ad set so the matcher can filter Media by overlapping CatalogProducts later.",Story,High,Ad Platforms,ad-platforms;phase-b;meta,,Ad Platforms Phase B
"Phase B-3: Google Ads campaign sync adapter","services/googleAdsCampaignService.js. Uses the stored refresh_token to mint an access token, then the searchStream endpoint with a GAQL query pulling campaign + ad_group + ad + ad_group_criterion + customer_negative_criterion. Pulls Performance Max asset groups + their listing_group_filter (which references Merchant Center product IDs) so Phase C can match those against CatalogProduct. Maps Google's targeting (geo, age, audience criteria) into the unified Campaign.targeting shape. Idempotent upsert keyed on (brandId, platform='google-ads', externalId).",Story,High,Ad Platforms,ad-platforms;phase-b;google,,Ad Platforms Phase B
"Phase B-4: Sync routes + manual-trigger UI","REST endpoints under /api/integrations/{meta-ads,google-ads}/sync-campaigns and /campaign-status. Mirror the IG catalog/posts route shape (foreground sync, returns counts + perCredential breakdown). Frontend: ""Sync campaigns"" button in each Ad Platforms card row plus an ingested-count pill + last-synced timestamp. Read-only for now — campaign list view is Phase B-6.",Story,Medium,Ad Platforms,ad-platforms;phase-b;routes;ui,,Ad Platforms Phase B
"Phase B-5: Scheduled auto-sync of campaigns","Extend services/scheduledSyncService.js with a campaigns tier: every Brand.syncSettings.campaignCadenceHours (default 6h) sweep active meta-ads + google-ads credentials and refresh their campaigns. Reuses the existing tick interval; per-credential lastCampaignSyncAt timestamp on IntegrationCredential. Brand-level toggle reuses existing autoSyncEnabled flag — no new opt-in switch needed.",Story,Medium,Ad Platforms,ad-platforms;phase-b;scheduler,,Ad Platforms Phase B
"Phase B-6: Campaign browser panel on brand page","Collapsible card under Ad Platforms (mirrors the V2 #1 catalog browser). Paginated list of Campaigns showing platform pill, name, objective, status, schedule, ad-set count, and product-set overlap with our CatalogProduct collection. Filters by platform / status / objective. Per-row drill-down expands to show ad sets + ads + targeting summary. Read-only — drives the Phase C campaign-aware media filter on ads.html.",Story,Medium,Ad Platforms,ad-platforms;phase-b;ui,,Ad Platforms Phase B
